building,name,area,perim,shape,sample,vertices
yes,martha,246.63484,66.28702,0.70535,45,7
yes,iqrha,287.60305,73.09823,0.67638,57,9
yes,venkana,190.80367,65.85704,0.55283,16,15
yes,ranjith,228.08644,68.68087,0.60763,,11
yes,bhojaraj,211.89638,58.2289,0.78534,,5
yes,kelvin,180.6546,65.17433,0.53445,,11
yes,manohar,236.77034,70.09023,0.60565,74,11
yes,ruben,162.65845,55.95055,0.65295,,9
yes,bhavana,250.8021,71.78385,0.61163,34,13
yes,teesta,157.19509,55.28669,0.64626,11,11
yes,ashley,190.85721,60.33696,0.6588,19,9
yes,richman,249.62433,73.03539,0.58807,,11
yes,richman,285.66734,73.30376,0.66806,13,9
yes,venkana,175.84774,58.62203,0.64302,14,9
yes,teresa,262.06131,68.95896,0.69252,11,9
yes,bhojaraj,252.11511,64.75249,0.75561,77,7
yes,ranjith,262.68964,79.12538,0.52726,73,15
yes,martha,277.05951,77.32175,0.58234,77,23
yes,iqrha,233.01164,61.86189,0.76514,,7
yes,bhavana,274.09819,73.15239,0.64366,28,9
yes,kelvin,246.26854,65.91036,0.71238,41,9
yes,ashley,223.19504,63.55996,0.69427,48,9
yes,andy,218.65586,62.13349,0.71174,50,9
yes,richman,17.66648,16.81251,0.78541,,5
yes,ruben,112.71894,50.10887,0.56413,,9
yes,venkana,275.77749,67.96159,0.75031,,5
yes,bhojaraj,287.1635,67.79844,0.78505,,5
yes,ranjith,251.20502,66.79151,0.70761,,7
yes,richman,239.8021,64.18773,0.73141,49,7
yes,iqrha,299.56667,76.44708,0.64414,,9
yes,venkana,144.51297,50.24169,0.71943,53,7
yes,teresa,324.38146,72.04318,0.78538,66,5
yes,bhojaraj,153.46174,56.444,0.6053,,7
yes,kelvin,256.21193,67.09607,0.71518,,9
yes,martha,236.02649,73.95707,0.54226,,29
yes,ruben,26.13062,21.36711,0.71923,,5
yes,venkana,260.78211,74.21046,0.59505,,11
yes,teesta,123.51888,46.1802,0.72783,24,7
yes,ashley,235.70528,63.7472,0.72888,49,7
yes,bhojaraj,203.70274,57.21773,0.78189,45,5
yes,richman,18.08349,17.2549,0.76325,,5
yes,ruben,197.81673,58.39104,0.72909,40,9
yes,bhavana,224.78137,68.16264,0.60796,,11
yes,bhojaraj,218.6953,59.16647,0.78505,,5
